机构名称,属地,县（区、市）,机构类别,机构级别,经营性质,统一社会信用代码
杭州浙益眼科诊疗中心,省级,,眼科门诊部,未定级,营利性,TE3301023300102820
浙江大学医学院附属第一医院清泰门医务室,省级,,医务室,未定级,非营利性（政府办）,TE3301023300096110
浙江大学医学院附属第一医院萧山医务室,省级,,医务室,未定级,非营利性（政府办）,TE3301093300094010
浙江大学校医院（之江校区医务室）,省级,,医务室,未定级,非营利性（非政府办）,12100000470095016Q
浙江省人民医院省委党校医务室,省级,,医务室,未定级,非营利性（政府办）,12330000470051726F
浙江大学校医院,省级,,综合医院,未定级,非营利性（非政府办）,12100000470095016Q
浙江大学校医院（华家池校区分院）,省级,,综合医院,未定级,非营利性（非政府办）,12100000470095016Q
浙江大学校医院（第二医务室）,省级,,医务室,未定级,非营利性（非政府办）,12100000470095016Q
浙江大学校医院（西溪校区分院）,省级,,综合医院,未定级,非营利性（非政府办）,12100000470095016Q
浙江大学校医院（第一医务室）,省级,,医务室,未定级,非营利性（非政府办）,12100000470095016Q
浙江省皮肤病医院,省级,,皮肤病医院,未定级,非营利性（政府办）,12330000470051814X
温州医科大学附属眼视光医院,省级,,眼科医院,三级,非营利性（政府办）,123303007743926187
浙江大学校医院（紫金港校区分院）,省级,,综合医院,未定级,非营利性（非政府办）,12100000470095016Q
温州医科大学附属第二医院,省级,,综合医院,三级,非营利性（政府办）,12330000470005930F
温州医科大学附属第二医院南浦院区,省级,,综合医院,未定级,非营利性（政府办）,TE3303023300141660
温州医科大学附属第一医院公园路院区,省级,,综合医院,三级,非营利性（政府办）,TE3303023300411340
浙江省肿瘤医院,省级,,肿瘤医院,三级,非营利性（政府办）,123300004700517425
浙江省妇幼和生殖保健中心,省级,,其他专科门诊部,未定级,非营利性（政府办）,1233000047005322XQ
浙江医院,省级,,综合医院,三级,非营利性（政府办）,12330000470051734A
浙江大学医学院附属第一医院,省级,,综合医院,三级,非营利性（政府办）,12330000470003222E
