DB记录ID,机构名称,统一社会信用代码,等级,地区,机构编码
99138,杭州上城众仁中西医结合诊所,nan,无等级,杭州,INST_861C903E
99143,杭州林松彪内科诊所,nan,未定级,杭州,INST_75D129E6
100904,余姚康华诊所,nan,无等级,宁波,INST_E8634609
101074,乐清盐盆正信中医诊所,nan,无等级,温州,INST_C9D55F0A
101152,吴爱玉卫生站,nan,未定级,温州,INST_606FFFEA
101153,黄美柳卫生站,nan,未定级,温州,INST_94065012
101366,海宁市盐官度假区卫生院潮能康养医务室,nan,无级别,嘉兴,INST_D8367867
102561,绍兴上虞盖北刘年勇西医诊所,nan,无等级,绍兴,INST_FEB820D5
102988,金华金东华国之光中医（综合）诊所,nan,无等级,金华,INST_214D11C2
103388,义乌邻家医疗管理有限公司南下朱诊所,nan,无等级,金华,INST_C681E870
103938,三门国医堂中医诊所,nan,无等级,台州,INST_AFBB7AA7
