机构名称,地区,等级,统一社会信用代码
浙一医院潘方仁分院,省级,未定级,12330000470003222e
淳安县浪川乡卫生院双源分院,杭州,未定级,12330127470421969l
浙江省皮肤病医院拱墅区综合门诊部,杭州,未定级,12330000470051814x
杭州上城众仁中西医结合诊所,杭州,无等级,
杭州林松彪内科诊所,杭州,未定级,
建德市大洋镇卫生院,杭州,未定级,12330182470483684p
建德市李家镇卫生院,杭州,未定级,1233018247048373XM
建德市更楼街道桥岭村卫生室,杭州,未定级,12330182470483676w
建德市乾潭镇下包村卫生室,杭州,未定级,12330182470483721x
宁波市海曙区古林镇古林村卫生室,宁波,未定级,12330227419611847l
宁海县前童镇卫生院,宁波,未定级,12330226419591989h
宁海县梅林街道社区卫生服务中心,宁波,未定级,12330226419591831X
宁海县越溪乡七市村卫生室,宁波,无级别,12330226419591874B
余姚康华诊所,宁波,无等级,
乐清盐盆正信中医诊所,温州,无等级,
吴爱玉卫生站,温州,未定级,
黄美柳卫生站,温州,未定级,
温州市瓯海区泽雅镇周岙村卫生室,温州,未定级,12330304470621338h
海宁市盐官度假区卫生院潮能康养医务室,嘉兴,无级别,
嘉善县姚庄镇卫生院,嘉兴,未定级,12330421471000031K
嘉兴市秀洲区洪合镇民和社区卫生服务站,嘉兴,未定级,12330411740524176C
嘉兴市秀洲区王江泾镇市泾村卫生室,嘉兴,未定级,12330411470970108k
绍兴上虞盖北刘年勇西医诊所,绍兴,无等级,
金华金东华国之光中医（综合）诊所,金华,无等级,
义乌市后宅街道金城社区卫生服务站,金华,未定级,12330782471771901X
义乌邻家医疗管理有限公司南下朱诊所,金华,无等级,
永康市唐先镇雅堂村长塘头自然村卫生室,金华,未定级,54330784me0204557d
衢州市衢江区廿里镇中心卫生院,衢州,未定级,12330821350110058L
普陀区沈家门街道社区卫生服务中心西大社区卫生服务站,舟山,未定级,12330903472170315M
三门县健跳镇毛叶村卫生室,台州,未定级,12331022769610107p
三门国医堂中医诊所,台州,无等级,
路桥区金清镇德升村卫生室,台州,无级别,12331004472710174T
台州市中心医院,台州,三级,12331000MB0X59176W
松阳县玉岩镇大树村卫生室,丽水,无级别,12332528472520258C
