机构名称,属地,县（区、市）,机构类别,机构级别,经营性质,统一社会信用代码,该USCC总记录数
浙江大学医学院附属第一医院,省级,,综合医院,三级,非营利性（政府办）,12330000470003222E,4
浙江大学医学院附属第一医院余杭院区,省级,,综合医院,三级,非营利性（政府办）,12330000470003222E,4
杭州市之江新城医院,杭州,西湖区,综合医院,三级,非营利性（政府办）,12330000470003222E,4
浙江大学医学院附属儿童医院滨江院区,省级,,儿童医院,三级,非营利性（政府办）,123300004700032571,3
浙江大学医学院附属儿童医院,省级,,儿童医院,三级,非营利性（政府办）,123300004700032571,3
浙江大学医学院附属儿童医院莫干山院区,省级,,儿童医院,三级,非营利性（政府办）,123300004700032571,3
浙江大学医学院附属邵逸夫医院,省级,,综合医院,三级,非营利性（政府办）,12330000470003265U,4
浙江大学医学院附属邵逸夫医院大运河院区,杭州,拱墅区,综合医院,三级,非营利性（政府办）,12330000470003265U,4
浙江大学医学院附属邵逸夫医院绍兴院区,绍兴,上虞区,综合医院,三级,非营利性（政府办）,12330000470003265U,4
浙江大学医学院附属妇产科医院余杭院区,省级,,妇产（科）医院,三级,非营利性（政府办）,12330000470003273N,3
浙江大学医学院附属妇产科医院钱江院区,省级,,妇产（科）医院,三级,非营利性（政府办）,12330000470003273N,3
浙江大学医学院附属妇产科医院,省级,,妇产（科）医院,三级,非营利性（政府办）,12330000470003273N,3
浙江大学医学院附属口腔医院,省级,,口腔医院,三级,非营利性（政府办）,12330000470003281H,4
浙江大学医学院附属口腔医院华家池院区,省级,,口腔医院,三级,非营利性（政府办）,12330000470003281H,4
浙江省中医院（钱塘院区）,省级,,中医（综合）医院,三级,非营利性（政府办）,12330000470004129M,3
浙江省中医院西溪院区,省级,,中医（综合）医院,三级,非营利性（政府办）,12330000470004129M,3
浙江省中医院,省级,,中医（综合）医院,三级,非营利性（政府办）,12330000470004129M,3
温州医科大学附属第二医院,省级,,综合医院,三级,非营利性（政府办）,12330000470005930F,2
温州医科大学附属第二医院瑶溪院区,省级,,综合医院,三级,非营利性（政府办）,12330000470005930F,2
浙江中医药大学附属第二医院,省级,,中西医结合医院,三级,非营利性（政府办）,12330000470032824N,2
浙江中医药大学附属第二医院申花院区,省级,,中西医结合医院,三级,非营利性（政府办）,12330000470032824N,2
浙江省人民医院,省级,,综合医院,三级,非营利性（政府办）,12330000470051726F,5
浙江省人民医院越城院区,绍兴,越城区,综合医院,三级,非营利性（政府办）,12330000470051726F,5
浙江医院,省级,,综合医院,三级,非营利性（政府办）,12330000470051734A,2
浙江医院三墩院区,省级,,综合医院,三级,非营利性（政府办）,12330000470051734A,2
浙江省立同德医院,省级,,中西医结合医院,三级,非营利性（政府办）,12330000470051793D,2
浙江省医疗健康集团衢州医院,衢州,柯城区,综合医院,三级,非营利性（非政府办）,12330000X09760348Q,3
杭州市红十字会医院,杭州,拱墅区,中西医结合医院,三级,非营利性（政府办）,12330100470116657W,2
杭州市第七人民医院,杭州,西湖区,精神病医院,三级,非营利性（政府办）,12330100470116673J,2
杭州市第七人民医院浙西院区,杭州,建德市,精神病医院,三级,非营利性（政府办）,12330100470116673J,2
杭州市中医院,杭州,西湖区,中医（综合）医院,三级,非营利性（政府办）,12330100470116681D,2
杭州市西溪医院,杭州,西湖区,传染病医院,三级,非营利性（政府办）,123301005898869669,2
浙江省医疗健康集团杭州医院,杭州,拱墅区,综合医院,二级,非营利性（非政府办）,12330100MB0T87691M,4
杭州市拱墅区人民中西医结合医院,杭州,拱墅区,中西医结合医院,二级,非营利性（政府办）,1233010347024048XJ,5
杭州市上城区人民医院,杭州,上城区,综合医院,二级,非营利性（政府办）,12330104470211064T,3
杭州市萧山区第一人民医院,杭州,萧山区,综合医院,三级,非营利性（政府办）,12330109470453493C,2
杭州市余杭区第三人民医院,杭州,余杭区,综合医院,二级,非营利性（政府办）,12330110470390322G,3
杭州市余杭区第二人民医院,杭州,余杭区,综合医院,二级,非营利性（政府办）,12330110470390330B,5
杭州市临平区第一人民医院,杭州,临平区,综合医院,三级,非营利性（政府办）,123301104703906486,5
杭州市临平区妇幼保健院,杭州,临平区,妇幼保健院,三级,非营利性（政府办）,123301104703906561,2
杭州市临平区中医院,杭州,临平区,中医（综合）医院,三级,非营利性（政府办）,12330110470390664U,2
桐庐县妇幼保健院,杭州,桐庐县,妇幼保健院,二级,非营利性（政府办）,12330122470300489Q,15
桐庐县中医院,杭州,桐庐县,中医（综合）医院,三级,非营利性（政府办）,123301224703200767,3
淳安县第一人民医院,杭州,淳安县,综合医院,三级,非营利性（政府办）,12330127470421547M,4
淳安县中医院,杭州,淳安县,中医（综合）医院,三级,非营利性（政府办）,12330127470421563B,2
建德市妇幼保健院,杭州,建德市,妇幼保健院,二级,非营利性（政府办）,12330182470483609Y,2
建德市第四人民医院,杭州,建德市,精神病医院,二级,非营利性（政府办）,123301824704837801,2
建德市中西医结合医院,杭州,建德市,中西医结合医院,二级,非营利性（政府办）,12330182470483879H,2
