机构名称,地区,机构类别,等级,统一社会信用代码,机构性质,经营性质
浙一医院潘方仁分院,省级,,未定级,12330000470003222e,综合医院,非营利性（政府办）
淳安县浪川乡卫生院双源分院,杭州,淳安县,未定级,12330127470421969l,村卫生室,非营利性（政府办）
浙江省皮肤病医院拱墅区综合门诊部,杭州,拱墅区,未定级,12330000470051814x,综合门诊部,非营利性（政府办）
建德市大洋镇卫生院,杭州,建德市,未定级,12330182470483684p,中心卫生院,非营利性（政府办）
建德市李家镇卫生院,杭州,建德市,未定级,1233018247048373XM,乡卫生院,非营利性（政府办）
建德市更楼街道桥岭村卫生室,杭州,建德市,未定级,12330182470483676w,村卫生室,非营利性（政府办）
建德市乾潭镇下包村卫生室,杭州,建德市,未定级,12330182470483721x,村卫生室,非营利性（政府办）
宁波市海曙区古林镇古林村卫生室,宁波,海曙区,未定级,12330227419611847l,村卫生室,非营利性（政府办）
宁海县前童镇卫生院,宁波,宁海县,未定级,12330226419591989h,乡卫生院,非营利性（政府办）
宁海县梅林街道社区卫生服务中心,宁波,宁海县,未定级,12330226419591831X,社区卫生服务中心,非营利性（政府办）
宁海县越溪乡七市村卫生室,宁波,宁海县,无级别,12330226419591874B,村卫生室,非营利性（政府办）
温州市瓯海区泽雅镇周岙村卫生室,温州,瓯海区,未定级,12330304470621338h,村卫生室,非营利性（政府办）
嘉善县姚庄镇卫生院,嘉兴,嘉善县,未定级,12330421471000031K,乡卫生院,非营利性（政府办）
嘉兴市秀洲区洪合镇民和社区卫生服务站,嘉兴,秀洲区,未定级,12330411740524176C,社区卫生服务站,非营利性（政府办）
嘉兴市秀洲区王江泾镇市泾村卫生室,嘉兴,秀洲区,未定级,12330411470970108k,村卫生室,非营利性（非政府办）
义乌市后宅街道金城社区卫生服务站,金华,义乌市,未定级,12330782471771901X,社区卫生服务站,非营利性（政府办）
永康市唐先镇雅堂村长塘头自然村卫生室,金华,永康市,未定级,54330784me0204557d,村卫生室,非营利性（非政府办）
衢州市衢江区廿里镇中心卫生院,衢州,衢江区,未定级,12330821350110058L,中心卫生院,非营利性（政府办）
普陀区沈家门街道社区卫生服务中心西大社区卫生服务站,舟山,普陀区,未定级,12330903472170315M,社区卫生服务站,非营利性（政府办）
三门县健跳镇毛叶村卫生室,台州,三门县,未定级,12331022769610107p,村卫生室,非营利性（非政府办）
路桥区金清镇德升村卫生室,台州,路桥区,无级别,12331004472710174T,村卫生室,非营利性（政府办）
台州市中心医院,台州,椒江区,三级,12331000MB0X59176W,综合医院,非营利性（政府办）
松阳县玉岩镇大树村卫生室,丽水,松阳县,无级别,12332528472520258C,卫生所（室）,非营利性（政府办）
