========================================================================================================================
医院等级对比报告（Excel vs 数据库）
需要修正的数据（以Excel为准）
========================================================================================================================

总计需要修正: 39 家医院

------------------------------------------------------------------------------------------------------------------------
序号     USCC                      医院名称                                               数据库等级        Excel等级     
------------------------------------------------------------------------------------------------------------------------
1      12330782471771872J        义乌市廿三里街道金麟社区卫生服务站                                  一级           未定级         
2      12330782471772381B        义乌市皮肤病医院                                           一级           未定级         
3      1233078247177271XH        义乌市苏溪镇十和里社区卫生服务站                                   一级           无级别         
4      12330782471772170U        义乌市赤岸镇水岸社区卫生服务站                                    一级           无级别         
5      12330281726406800R        余姚市兰江街道四明社区卫生服务站                                   一级           未定级         
6      12330281764547145A        余姚市凤山街道双河村第一卫生室                                    一级           无级别         
7      123302814196458280        余姚市梨洲街道姜家渡村卫生室                                     一级           未定级         
8      12330281419645908K        余姚市牟山镇牟湖社区卫生服务站                                    一级           未定级         
9      12330283MB19920569        宁波市奉化区方桥街道阮家村卫生室                                   一级           未定级         
10     1233028358054461XR        宁波市奉化区溪口镇东岙村卫生室3                                   一级           未定级         
11     123302834197183610        宁波市奉化区莼湖街道翁岙村卫生室1                                  一级           无级别         
12     12330227419612102G        宁波市鄞州区潘火街道紫郡社区卫生服务站                                一级           未定级         
13     91330200717884309P        慈林医院                                               一级           三级          
14     12330282MB1F161471        慈溪市古塘街道社区卫生服务中心界牌社区卫生服务站                           一级           未定级         
15     12330282419690733W        慈溪市宗汉街道社区卫生服务中心锦漾社区卫生服务站                           一级           未定级         
16     123302824196900638        慈溪市横河镇梅相社区卫生服务站                                    一级           无级别         
17     12331081729096967B        温岭市城西街道社区卫生服务中心西溪社区卫生服务站                           一级           未定级         
18     123310814724738137        温岭市松门镇卫生院北门社区卫生服务站                                 一级           未定级         
19     123310814727222040        温岭市温峤镇中心卫生院桐山社区卫生服务站                               一级           未定级         
20     123310814727288680        温岭市箬横镇中心卫生院严家桥村卫生室                                 一级           未定级         
21     1233070047159030XW        金华市婺城区秋滨街道社区卫生服务中心吕塘下社区卫生服务站                       一级           未定级         
22     12330825472030304N        龙游县沐尘乡卫生院梧村分院                                      一级           未定级         
23     12332500472260070Y        丽水市第二人民医院城西院区                                      三级           一级          
24     12331000796490606H        台州恩泽医疗中心（集团）驻路桥公安分局智慧诊室                            三级           未定级         
25     1233018547036225XD        杭州市临安区锦城街道新民里社区卫生服务站                               三级           未定级         
26     12330782689145495P        浙江省第二监狱医院                                          三级           未定级         
27     12331081MB0264591E        温岭市医疗急救指挥中心台州市中西医结合医院急救站                           三级           未定级         
28     52330782471773317R        义乌稠州医院赤岸护理中心                                       二级           未定级         
29     12330281713385422T        余姚市泗门镇西大街社区卫生服务站                                   二级           未定级         
30     123302064195610696        宁波市北仑区柴桥街道后郑村卫生室                                   二级           未定级         
31     123302824196900120        慈溪市周巷镇卫生院                                          二级           一级          
32     123302824196897916        慈溪市龙山镇卫生院                                          二级           一级          
33     123325284725200392        松阳荣军优抚医院                                           二级           一级          
34     12330122470300489Q        桐庐县凤川街道社区卫生服务中心滩头社区卫生服务站                           二级           未定级         
35     52331081472729123P        温岭市医疗急救指挥中心温岭东方医院急救站                               二级           未定级         
36     12330304470621442M        温州市瓯海区新桥街道山前社区自助卫生室                                二级           未定级         
37     523301094704555525        萧山经济技术开发区医院驻杭州市拘留所卫生所                              二级           未定级         
38     12330225MB15219326        象山县鹤浦镇中心卫生院                                        二级           未定级         
39     12331004472710019E        路桥区路南街道石曲社区卫生服务站                                   二级           未定级         
