机构名称,统一社会信用代码,Excel等级(原始),Excel等级(标准),DB等级,DB记录ID
丁伟康中医诊所,92330402MABYBHMR5P,未定级,无等级,未定级,51126.0
万全镇三都王村村卫生室,TE3303263300237890,未定级,无等级,未定级,46229.0
万全镇下周村村卫生室,TE3303263300199360,未定级,无等级,未定级,46212.0
万全镇下桥村村卫生室,TE3303263300222680,未定级,无等级,未定级,46228.0
万全镇倪垟村工业区卫生室,TE3303263300238630,未定级,无等级,未定级,46599.0
万全镇倪垟村村卫生室,TE3303263300203110,未定级,无等级,未定级,46231.0
万全镇古家大村村卫生室,TE3303263300225890,未定级,无等级,未定级,46233.0
万全镇古渔村村卫生室,TE3303263300209710,未定级,无等级,未定级,46357.0
万全镇台头村村卫生室,TE3303263300247350,未定级,无等级,未定级,46253.0
万全镇吴岙村村卫生室,TE3303263300208960,未定级,无等级,未定级,46600.0
万全镇宋桥村卫生室,TE3303263300239000,未定级,无等级,未定级,46252.0
万全镇岭下村村卫生室,TE3303263300213070,未定级,无等级,未定级,46598.0
万全镇张阁村卫生室,TE3303263300378350,未定级,无等级,未定级,46346.0
万全镇新渎村村卫生室,TE3303263300195670,未定级,无等级,未定级,46225.0
万全镇栏杆桥村村卫生室,TE3303263300227760,未定级,无等级,未定级,46215.0
万全镇榆南村村卫生室,TE3303263300231180,未定级,无等级,未定级,46226.0
万全镇江头村村卫生室,TE3303263300202310,未定级,无等级,未定级,46209.0
万全镇浃口村村卫生室,TE3303263300220420,未定级,无等级,未定级,46220.0
万全镇章岙底村村卫生室,TE3303263300196030,未定级,无等级,未定级,46216.0
万全镇西活村村卫生室,TE3303263300215480,未定级,无等级,未定级,46214.0
万全镇郑三村村卫生室,TE3303263300203620,未定级,无等级,未定级,46230.0
万全镇金宕村村卫生室,TE3303263300217200,未定级,无等级,未定级,46224.0
万全镇金阳村卫生室,TE3303263300367100,未定级,无等级,未定级,46213.0
万全镇陈交大村村卫生室,TE3303263300209310,未定级,无等级,未定级,46232.0
万全镇黄垟村卫生室,TE3303263300418390,未定级,无等级,未定级,46115.0
万向钱潮股份公司卫生站,91330000142923441E,未定级,无等级,未定级,37895.0
万里祥卫生室,TE3308023300192960,未定级,无等级,未定级,62027.0
三门博雅口腔门诊部,92331022MA2G76DJ8Q,未定级,无等级,未定级,64063.0
三门县中医院,TE3310223300120270,未定级,无等级,未定级,64082.0
三门县亭旁镇岙楼村卫生室,123310227399220898,无级别,无级别,未定级,64019.0
三门县人民医院,12331022472810415D,三级,三级,无级别,64067.0
三门县健跳镇刘塘墩村卫生室,12331022770748373U,无级别,无级别,未定级,64032.0
三门县健跳镇南塘村卫生室,TE3310223300148950,未定级,无等级,未定级,64036.0
三门县健跳镇南野村卫生室,TE3310223300148840,未定级,无等级,未定级,64038.0
