机构名称,统一社会信用代码,Excel等级(原始),Excel等级(期望DB值),DB等级(实际值),DB记录ID
丁金生口腔诊所,92330602MA2FGLJK3J,,无等级,,54320.0
丁鸟集（杭州）诊所,91330102MADMBUE28J,,无等级,,36478.0
万民中西医诊所,91330902MA28K5YL9M,,无等级,,62888.0
三门丞悦医疗有限公司海润内科诊所,91331022MADM324T5W,,无等级,,64068.0
三门九得灵诊所有限公司大湖塘西医诊所,91331022MABNC6CX69,,无等级,,64144.0
三门仁雅妇科诊所,92331022MA2DXUQ180,,无等级,,64122.0
三门仕善口腔医疗有限公司健跳口腔诊所,91331022MA2HH22U27,,无等级,,64055.0
三门仲梁中医诊所有限公司上洋路中医诊所,91331022MA2DXTUK69,,无等级,,64075.0
三门仲梁西医诊所,91331022MADGQP4B0B,,无等级,,64097.0
三门众康口腔诊所有限公司三门新城口腔诊所,91331022MACM05YL03,,无等级,,64107.0
三门伟武诊所有限公司毛叶口腔诊所,91331022MAC93XUM45,,无等级,,64106.0
三门佳美口腔诊所,TE3310223300488790,,无等级,,64159.0
三门俞昌棋西医诊所,92331022MA2K7HT59F,,无等级,,64146.0
三门养和中医诊所,TE3310223300499900,,无等级,,64127.0
三门初肌医疗美容诊所,91331022MAD1M0984W,,无等级,,64066.0
三门包宏巍口腔诊所,92331022MA2AL8807A,,无等级,,64113.0
三门匡洋医疗有限公司新晖内科诊所,91331022MAK13R3621,,无等级,,63985.0
三门博皓口腔诊所,92331022MA2KBUEP4M,,无等级,,64157.0
三门卢方华西医诊所,91331022MA28HEU267,,无等级,,64145.0
三门卢毅西医内科诊所,TE3310223300142500,,无等级,,64121.0
三门县亭旁镇岙楼村卫生室,123310227399220898,无级别,无级别,未定级,64019.0
三门县人民医院,12331022472810415D,三级,三级,无级别,64067.0
三门县亿舟医疗有限公司海游西医诊所,91331022MAEXF3E01D,,无等级,,63987.0
三门县任亦利中医骨伤科诊所,91331022MA28HFQ4XN,,无等级,,64133.0
三门县健祥西医诊所,91331022MAD7PUYQ4N,,无等级,,64099.0
三门县健跳镇刘塘墩村卫生室,12331022770748373U,无级别,无级别,未定级,64032.0
三门县孙仲昱中医骨伤科诊所,TE3310223300343530,,无等级,,64135.0
三门县振振西医诊所有限公司新塘村西医诊所,91331022MA2HEB5F75,,无等级,,64081.0
三门县景程医疗有限公司西区大道中医诊所,91331022MA2HJ2CQ4T,,无等级,,64130.0
三门县永昇医疗有限公司沙塘岸中医诊所,91331022MA2DW6257P,,无等级,,64129.0
三门县沙柳街道社区卫生服务中心,1233102247281052XE,未定级,未定级,无级别,64003.0
三门县浦坝港镇沿赤卫生院,12331022774396686X,未定级,未定级,无级别,63992.0
三门叶咸相诊所有限公司浦坝港镇全科诊所,91331022MA2HEL2R33,,无等级,,64138.0
三门叶氏中医诊所,91331022MA28HFHY8Q,,无等级,,64137.0
三门同饮和中医诊所有限公司西区大道中医诊所,91331022MA2DTALD8N,,无等级,,64115.0
三门吴元荣西医诊所,91331022MA2APR7Y29,,无等级,,64098.0
三门吴能旺口腔诊所,92331022MA2AKX6A9F,,无等级,,64117.0
三门周光莲口腔诊所,TE3310223300516150,,无等级,,64080.0
三门周瑞伟口腔诊所,92331022MA2DWHBQ6P,,无等级,,64154.0
三门善健西医诊所有限公司亭旁内科诊所,91331022MABQWMH11N,,无等级,,64089.0
三门嘉仁诊所有限公司健跳西医诊所,91331022MA2K9YPJ50,,无等级,,64077.0
三门嘉仁诊所有限公司海润西医诊所,91331022MA2K7NYN4F,,无等级,,63983.0
三门圣美口腔诊所,92331022MA2DUNLJ87,,无等级,,64156.0
三门季全口腔诊所,TE3310223300513160,,无等级,,64118.0
三门宁和口腔诊所有限公司亭旁口腔诊所,91331022MAEU1HP86U,,无等级,,64053.0
三门宇康西医诊所,TE3310223300488800,,无等级,,64102.0
三门安济诊所有限公司海游西医全科诊所,91331022MAG09C9EXA,,无等级,,63980.0
三门安荣中医诊所有限公司浦坝港镇中医诊所,91331022MABN7N5M0K,,无等级,,64078.0
三门希康诊所有限公司浦坝港镇西医诊所,91331022MA2DWNPF1A,,无等级,,64086.0
三门广慈中医诊所,91331022MA29YXL24W,,无等级,,64111.0
三门广莱医疗有限公司广莱内科诊所,91331022MADLPKQT3B,,无等级,,64095.0
三门应氏西医内科诊所,92331022MA28HUP1XH,,无等级,,64149.0
三门康安诊所,92331022MA2DUBAU5Y,,无等级,,64094.0
三门康馨西医诊所,92331022MAEHX3EX52,,无等级,,64071.0
三门建标中医诊所,91331022MA2APNCT2U,,无等级,,64134.0
三门德元升中医诊所,91331022MAD1KT405P,,无等级,,64096.0
三门德睿口腔医疗有限公司浦坝港口腔诊所,91331022MA7BNNRL16,,无等级,,64103.0
三门心愿口腔诊所有限公司浦坝港口腔诊所,91331022MA7LHH0WXK,,无等级,,64070.0
三门志创医疗有限公司泗淋中医诊所,91331022MA2DY3F28B,,无等级,,64131.0
三门悬渚口腔诊所,92331022MA2G6FNR66,,无等级,,64152.0
三门明选中医诊所,92331022MA2HJD46XL,,无等级,,64076.0
三门春知堂全科诊所有限公司大湖塘全科诊所,91331022MADAQCCQ3G,,无等级,,64092.0
三门晓媚西医诊所,92331022MA2K7KTE0B,,无等级,,64143.0
三门晓鹏西医诊所有限公司嘉汇广场内科诊所,91331022MA2DWWCN97,,无等级,,64088.0
三门林善德西医诊所,91331022MA2AP5N65E,,无等级,,64142.0
三门林海金口腔诊所,TE3310223300394100,,无等级,,64114.0
三门永健西医诊所有限公司亭旁诊所,91331022MADEL8JC97,,无等级,,64100.0
三门江坚西医诊所,92331022MA2AP7AT6D,,无等级,,64141.0
三门洁齿口腔诊所,TE3310223300476450,,无等级,,64155.0
三门济众西医诊所有限公司健跳望海路内科诊所,TE3310223300521710,,无等级,,64119.0
三门济民医疗有限公司济民西医诊所,91331022MADNLEMN2W,,无等级,,64054.0
三门济民医疗有限公司海游济民全科诊所,91331022MAEP62MJ94,,无等级,,64058.0
三门润生诊所有限公司平安路全科诊所,91331022MA2DXWXF2J,,无等级,,64123.0
三门清柠口腔诊所有限公司泗淋口腔诊所,91331022MAER690K8J,,无等级,,63994.0
三门灵智中西医结合诊所有限公司浦坝港镇泗淋中西医结合诊所,91331022MA2DXB0M29,,无等级,,64073.0
三门熙珠口腔诊所有限公司西区口腔诊所,91331022MAC9B8GY9M,,无等级,,64061.0
三门王建昌口腔诊所,92331022MA2G1GN197,,无等级,,64153.0
三门王进西医内科诊所,92331022MA7MR3GA96,,无等级,,64120.0
三门百康西医诊所,92331022MACDTB5N90,,无等级,,64116.0
三门益健西医诊所有限公司沙塘岸西医诊所,92331022MA2DUHQX85,,无等级,,64139.0
三门益多口腔诊所,TE3310223300452270,,无等级,,64109.0
三门盛方口腔诊所,TE3310223300520060,,无等级,,64105.0
三门科纳集医疗美容诊所有限公司海游医美诊所,91331022MAC420JK86,,无等级,,64108.0
三门章以祥中医诊所,92331022MA2G5J864T,,无等级,,64132.0
三门章正省口腔诊所,TE3310223300494590,,无等级,,64151.0
三门翔翔西医诊所,92331022MA2AP55A3Q,,无等级,,64125.0
三门翟长章西医内科诊所,TE3310223300122790,,无等级,,64148.0
三门翼方堂中医诊所,91331022329839223X,,无等级,,64126.0
三门艺凡医疗有限公司花桥西医诊所,91331022MAC8AF1X8L,,无等级,,64124.0
三门艺贝口腔诊所,93331022MA2HFWT939,,无等级,,64091.0
三门艾灵医疗有限公司大湖塘全科诊所,91331022MAEGRE803W,,无等级,,64074.0
