ID,机构名称,当前地区,建议地区,等级,代码,统一社会信用代码
1,浙江大学医学院附属第二医院（浙二医院）,杭州,杭州,三级甲等,INS-0001,1233000047053349XG
2,浙江省中医院,杭州,杭州,三级甲等,INS-0002,1233000047053325XJ
3,杭州市中医院,杭州,杭州,三级甲等,INS-0003,12330100470533734G
4,浙江大学医学院附属邵逸夫医院（邵逸夫医院）,杭州,杭州,三级甲等,INS-0004,12330000470533579W
5,杭州市第一人民医院,杭州,杭州,三级甲等,INS-0005,12330000470533578B
6,浙江省立同德医院,杭州,杭州,三级甲等,INS-0006,12330000470533388X
7,浙江医院,宁波,杭州,三级甲等,INS-0007,12330000470533331W
8,浙江大学医学院附属第一医院（浙一医院）,宁波,杭州,三级甲等,INS-0008,12330000470533435J
9,浙江省人民医院,温州,杭州,三级甲等,INS-0009,12330000470533390P
11,浙江大学医学院附属儿童医院（浙江省儿童医院）,嘉兴,杭州,三级甲等,INS-0011,12330000470533493L
12,浙江省中西医结合医院（杭州市红十字会医院）,嘉兴,杭州,三级甲等,INS-0012,12330100470533735E
13,浙江省肿瘤医院,湖州,杭州,三级甲等,INS-0013,1233000047053330XK
14,浙江大学医学院附属口腔医院（浙江省口腔医院）,绍兴,杭州,三级甲等,INS-0014,12330000470533490Q
15,杭州市肝病研究所（西溪医院）,金华,杭州,三级甲等,INS-0015,12330100470533732N
16,宁波市第一医院,衢州,宁波,三级甲等,INS-0016,12330200470536094X
17,舟山医院,舟山,舟山,三级甲等,INS-0017,12330200470536093Y
18,宁波市医疗中心李惠利医院,台州,宁波,三级甲等,INS-0018,12330200470536096W
19,温州医科大学附属第二医院（温医二院）,丽水,温州,三级甲等,INS-0019,1233030047053070XK
20,绍兴市人民医院,湖州,绍兴,三级甲等,INS-0020,12330600470677541L
21,嘉兴市第一医院,绍兴,嘉兴,三级甲等,INS-0021,1233040047067683XG
22,湖州市中心医院,金华,湖州,三级甲等,INS-0022,12330500470676917R
23,金华市中心医院,衢州,金华,三级甲等,INS-0023,12330700470677134D
24,衢州市人民医院,舟山,衢州,三级甲等,INS-0024,12330800470677252B
25,台州医院,台州,台州,三级甲等,INS-0025,12331000470677532X
26,丽水市中心医院,丽水,丽水,三级甲等,INS-0026,1233110047067736X9
28,杭州师范大学附属医院,杭州,杭州,三级甲等,INS-0028,12330100470533736C
29,浙江中医药大学附属第二医院（新华医院）,杭州,杭州,三级甲等,INS-0029,12330000470533262H
30,浙江中医药大学附属第三医院（中山医院）,杭州,杭州,三级甲等,INS-0030,12330000470533261J
31,温州医科大学附属眼视光医院,温州,温州,三级甲等,INS-0031,12330300470530711L
32,宁波大学医学院附属医院,宁波,宁波,三级甲等,INS-0032,12330200470536095W
33,绍兴文理学院附属医院,绍兴,绍兴,三级乙等,INS-0033,12330600470677542J
34,杭州市临安区第三人民医院,杭州,杭州,三级乙等,INS-0034,12330185470362268D
35,宁波市奉化区人民医院,宁波,宁波,三级乙等,INS-0035,1233028341971853XY
36,衢州市柯城区人民医院,衢州,衢州,三级乙等,INS-0036,12330802731504130X
37,宁波市医疗中心李惠利医院（李惠利医院）,宁波,宁波,三级甲等,INS-0037,1233020041952986XM
38,宁波市中医院,宁波,宁波,三级乙等,INS-0038,12330200419529886G
39,杭州市中医院（浙江中医药大学附属杭州市中医院）,杭州,杭州,三级甲等,INS-0039,12330100470116681D
40,浙江省医疗健康集团衢州医院（衢州中心医院）,衢州,杭州,三级乙等,INS-0040,12330000X09760348Q
41,杭州市红十字会医院（中西医结合医院/中医结合医院）,杭州,杭州,三级甲等,INS-0041,12330100470116657W
42,宁波大学附属第一医院月湖院区,宁波,宁波,三级甲等,INS-0042,12330200MB1P683255
